,,"Alter - Total","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"Schweiz",,8139631,81409,82850,82237,83341,81773,81171,79780,78984,78901,78905,77662,78703,79077,83964,83520,84875,86352,88800,89465,91742,94008,98418,100642,102501,103392,106548,105524,108816,110034,112285,112042,115092,114941,115860,112799,111703,111964,111412,110841,113651,114358,117821,121986,123891,127255,130255,131632,134445,134937,136985,133055,127962,123655,120293,116508,112091,109377,105887,101491,98302,94687,93599,89583,91526,89319,89561,87569,86856,82537,80903,77452,73399,68140,62135,59946,57332,54226,53247,51575,49148,45947,43899,40870,38788,35049,31793,28158,25623,22494,19271,16203,13235,11080,8253,5439,3878,2844,2040,1348,1014,1495
"Zürich",1,1425538,15621,15569,15281,15202,14811,14444,14084,13734,13534,13427,13084,13145,12739,13487,13262,13352,13373,13628,13565,13764,14127,14785,15528,16348,17269,18289,19573,20823,21555,22736,22788,23598,23870,24502,23571,23206,22627,22526,21993,22022,21728,21730,22594,22888,23158,23417,23680,23705,23540,23577,22834,21575,20852,19900,19137,18302,17898,17371,16680,16137,15435,15592,14681,14991,14459,14389,14262,14184,13757,13545,13013,12384,11651,10517,10138,9703,8987,9098,8711,8300,7607,7197,6865,6566,5961,5272,4786,4253,3711,3125,2645,2215,1785,1378,853,623,447,310,207,155,235
"Bern / Berne",2,1001281,9421,9752,9549,9654,9477,9469,9229,8993,9132,9105,8953,9024,9115,9739,9775,9898,10202,10589,10687,10847,11023,11634,11962,12098,12298,12795,12323,12728,12802,13056,13139,13378,13544,13356,13073,12866,12916,12846,12590,13088,13143,13772,14329,14811,15280,15731,15825,15924,16057,16345,16309,15671,15452,14981,14634,14357,13904,13855,13252,12826,12658,12372,12016,12390,12117,12364,12117,12095,11340,11055,10341,10043,9093,8021,7894,7527,7297,7268,6904,6677,6448,6155,5769,5321,4971,4577,4089,3810,3251,2808,2355,1955,1658,1203,829,583,442,307,217,157,204
"Luzern",3,390349,4045,4114,4069,4097,4016,4051,3916,3927,3745,3788,3669,3814,3731,3991,4282,4211,4443,4717,4686,4705,4933,5166,5255,5484,5427,5681,5632,5596,5538,5622,5606,5742,5296,5419,5219,5303,5259,5100,5168,4994,5181,5561,5709,5717,6101,6157,6263,6352,6404,6688,6444,6160,5936,5790,5565,5380,5322,5022,4776,4613,4328,4354,4041,4193,4078,4040,3721,3721,3615,3533,3404,3157,3050,2948,2763,2650,2579,2575,2490,2292,2280,2106,1937,1775,1622,1479,1290,1118,997,807,709,550,473,343,213,175,128,83,44,36,54
"Uri",4,35865,327,366,338,363,367,347,338,359,352,364,346,370,357,408,390,413,404,418,416,422,428,461,448,494,463,430,469,488,441,460,387,424,416,449,421,421,439,429,428,476,484,493,488,524,545,552,522,578,567,581,544,554,520,540,543,531,485,529,475,471,446,485,446,434,415,412,387,383,410,380,359,355,311,306,255,295,252,221,262,214,222,228,188,193,166,139,127,148,110,106,93,72,65,32,25,19,18,8,5,3,7
"Schwyz",5,151396,1524,1615,1443,1505,1493,1546,1456,1451,1475,1467,1460,1481,1436,1636,1598,1616,1698,1699,1762,1747,1770,1815,1843,1862,1842,1850,1840,1927,1980,1863,1895,2003,2007,2008,2097,1999,2006,2037,2041,2139,2193,2280,2390,2368,2535,2510,2746,2720,2792,2821,2662,2641,2535,2400,2340,2296,2235,2000,1974,1929,1877,1748,1713,1776,1675,1669,1577,1587,1469,1382,1401,1217,1216,1060,1006,951,917,921,875,890,782,761,641,631,551,512,437,359,326,292,207,180,143,129,73,43,32,25,20,9,17
"Obwalden",6,36507,344,394,386,371,383,376,389,358,334,377,338,353,354,407,407,416,414,417,443,413,449,479,502,468,515,485,459,470,504,447,439,466,472,504,445,447,454,465,476,444,465,538,541,540,573,617,602,638,626,607,612,622,580,596,528,533,550,494,496,477,433,403,452,436,442,395,381,401,394,331,325,287,287,246,285,258,234,176,171,214,222,193,170,152,153,128,120,92,79,74,72,42,47,31,26,16,11,10,5,7,7
"Nidwalden",7,41888,387,376,383,385,357,391,364,395,383,371,400,390,358,419,398,429,433,428,436,493,503,521,532,539,489,526,472,500,537,491,531,460,552,529,504,510,535,523,527,572,521,575,596,613,649,715,735,754,768,777,709,744,679,713,702,666,632,630,561,577,583,532,503,547,543,547,561,480,461,492,434,418,372,340,295,279,260,287,260,210,234,192,189,187,152,158,125,144,97,73,76,54,51,36,23,18,8,9,5,2,6
"Glarus",8,39593,390,361,356,345,340,368,387,373,359,336,386,363,377,389,383,447,434,461,435,509,468,504,520,495,546,556,548,532,514,568,590,515,540,536,478,484,472,449,497,462,497,513,522,538,545,593,583,611,681,663,672,680,610,606,613,619,570,551,548,552,493,519,493,467,501,461,409,426,400,409,368,361,356,287,307,295,267,305,246,248,242,249,229,213,180,143,146,144,141,118,80,59,58,41,21,25,17,13,5,5,6
"Zug",9,118118,1247,1207,1193,1243,1203,1176,1211,1238,1149,1184,1234,1113,1195,1275,1169,1179,1250,1247,1230,1256,1195,1254,1275,1298,1330,1359,1369,1545,1472,1546,1565,1673,1662,1729,1669,1655,1681,1787,1686,1811,1834,1866,2012,1958,2124,2117,2049,2207,2147,2174,2130,1957,1923,1913,1813,1668,1606,1485,1497,1476,1390,1352,1265,1286,1265,1203,1259,1192,1172,1153,1040,986,1025,884,854,788,714,715,694,644,572,500,501,477,413,380,317,286,247,203,179,114,86,83,47,33,33,21,12,6,11
